rank,learning_rate,warmup_ratio,rank_r,alpha,dropout,target_modules,original_accuracy,mean_accuracy,std_accuracy,seed_1_accuracy,seed_2_accuracy,seed_3_accuracy
1,0.0002,0.0,24,96,0.0,1,0.9005,0.8966666666666668,0.002867441755680878,0.897,0.9,0.893
2,0.00017418496817427466,0.0,24,96,0.0,1,0.9,0.8945,0.004708148963941825,0.9005,0.889,0.894
3,0.0001853074532320233,0.0,24,96,0.0,1,0.8985,0.8968333333333334,0.002718251071716659,0.894,0.896,0.9005
4,0.000198317983314233,0.0,24,96,0.0,1,0.8985,0.8936666666666667,0.0026562295750848968,0.8935,0.8905,0.897
5,0.0002,0.0,24,96,0.0,1,0.898,0.8936666666666667,0.0018408935028645685,0.8915,0.896,0.8935
