learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,generation,accuracy,trainable_params
0.00019187048371928844,0.06,24,64,0.1,"['q_lin', 'v_lin']",50,2,0.824,1037574
0.0002,0.1,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",51,2,0.8945,1111302
0.00016335437192213225,0.1,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",52,2,0.888,1111302
0.00016758688620806904,0.06,24,96,0.0,"['q_lin', 'v_lin']",53,2,0.842,1037574
0.00013952497011504922,0.06,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",54,2,0.8605,853254
0.00019800943662095312,0.06,4,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",55,2,0.884,853254
0.00019187048371928844,0.06,8,64,0.1,"['q_lin', 'v_lin']",56,2,0.819,742662
0.00019187048371928844,0.06,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",57,2,0.819,724230
0.0001833992894755159,0.1,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",58,2,0.816,724230
0.0002,0.06,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",59,2,0.825,724230
0.0001992630622456184,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",60,2,0.8975,2143494
0.00019187048371928844,0.06,24,96,0.1,"['q_lin', 'v_lin']",61,3,0.842,1037574
0.0001992630622456184,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",62,3,0.8825,853254
0.0001992630622456184,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",63,3,0.8985,2143494
0.00016335437192213225,0.1,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",64,3,0.8865,1111302
0.0001833992894755159,0.1,4,64,0.0,"['q_lin', 'v_lin']",65,3,0.8175,668934
0.0001833992894755159,0.1,4,64,0.1,"['q_lin', 'v_lin']",66,3,0.82,668934
0.00019187048371928844,0.06,4,64,0.1,"['q_lin', 'v_lin']",67,3,0.816,668934
0.0001992630622456184,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",68,3,0.8835,853254
0.0001992630622456184,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",69,3,0.8945,1111302
0.0002,0.1,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",70,3,0.9005,2143494
0.00016758688620806904,0.06,4,64,0.0,"['q_lin', 'v_lin']",71,3,0.809,668934
0.0001833992894755159,0.1,4,64,0.1,"['q_lin', 'v_lin']",72,3,0.8115,668934
0.0001833992894755159,0.06,4,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",73,3,0.883,853254
0.0002,0.1,2,64,0.1,"['q_lin', 'v_lin']",74,3,0.8205,632070
0.00016335437192213225,0.1,4,64,0.1,"['q_lin', 'v_lin']",75,3,0.807,668934
0.0001833992894755159,0.06,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",76,3,0.89,2143494
1e-05,0.1,4,96,0.1,"['q_lin', 'v_lin']",77,3,0.5315,668934
0.00016335437192213225,0.06,24,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",78,3,0.8875,2143494
0.0001992630622456184,0.1,4,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",79,3,0.886,853254
0.0001992630622456184,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",80,3,0.9,1111302
0.0002,0.1,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",81,4,0.8955,853254
0.0001833992894755159,0.06,24,96,0.0,"['q_lin', 'v_lin']",82,4,0.8315,1037574
0.0001992630622456184,0.06,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",83,4,0.8775,724230
0.00013312672319685278,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",84,4,0.88,1111302
0.0001992630622456184,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",85,4,0.8965,2143494
0.0002,0.1,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",86,4,0.8905,2143494
0.0002,0.1,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",87,4,0.8945,1111302
0.00016335437192213225,0.1,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",88,4,0.8925,2143494
0.00019187048371928844,0.1,2,64,0.1,"['q_lin', 'v_lin']",89,4,0.8095,632070
0.0001833992894755159,0.06,4,32,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",90,4,0.867,853254
0.0001833992894755159,0.06,24,96,0.0,"['q_lin', 'v_lin']",91,4,0.8405,1037574
0.0001992630622456184,0.1,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",92,4,0.8755,853254
0.0002,0.06,8,96,0.1,"['q_lin', 'v_lin']",93,4,0.8305,742662
0.0001992630622456184,0.1,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",94,4,0.8765,724230
0.0002,0.1,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",95,4,0.902,2143494
0.0001992630622456184,0.06,2,64,0.1,"['q_lin', 'v_lin']",96,4,0.8065,632070
0.00016335437192213225,0.06,24,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",97,4,0.8945,2143494
0.0002,0.1,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",98,4,0.902,1111302
0.00013312672319685278,0.06,2,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",99,4,0.852,724230
0.0001992630622456184,0.06,8,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",100,4,0.8865,1111302
